rank,query_id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143
0,10,1.0,0.0,1.0,3.0,3.0,0.333333,0.0,0.333333,0.0,1.0,10.0,0.0,9.0,11.0,30.0,8.198216,22.240604,18.240926,21.439961,8.194138,0.0,0.0,1.0,5.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,0.333333,1.666667,2.333333,0.222222,0.0,0.222222,0.222222,1.555556,0.1,0.0,0.111111,4.822519551571287,0.233333,0.0,0.0,0.0,0.090909,0.033333,0.1,0.0,0.111111,0.181818,0.133333,0.033333,0.0,0.037037,0.151515,0,0,0.0,0.002743,0.001837,0.001728,5.183394,0.0,1,36.563118,24.430262,0.0,0.0,0.0,6.316804,1.375925,5.183394,0.0,8.655534,19.334808,20.730882,1.727798,0.0,2.885178,12.187706,8.143421,5.970573,0.0,16.648505,29.05908,79.371724,0.0,0.0,0.0,1.0,1.0,0,0.0,0.786755,0.971298,0.946833,11.904045,0.0,7.738967,26.350077,22.92774,-19.20191,-20.839029,-17.627562,-7.86572,-9.926361,-22.574108,-24.810069,-21.077948,-20.642055,-19.589214,-21.995388,-23.636237,-20.421283,-6.122882,-8.437561,3.0,76.0,0.0,0.0,153.0,3866.0,17.0,104.0,0.0,0.0,0.0,0.454545,0.890238,8.655534,1.0,0.077778,0.002222,1.0,0.333333
1,10,3.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.004250670543278202,1.0,557.0,0.0,7.0,11.0,575.0,8.198216,22.240604,18.240926,21.439961,8.194138,4.250670543278202e-06,0.0,4.0,0.0,48.0,6.0,0.0,1.0,0.0,7.0,31.0,0.0,2.0,0.0,33.0,8.501341086556405,0.0,1.333333,0.0,16.0,133.555556,0.0,0.222222,0.0,144.666667,0.078995,0.0,0.571429,3.445964538425636,0.083478,0.010772,0.0,0.142857,0.0,0.012174,0.055655,0.0,0.285714,0.0,0.057391,0.026332,0.0,0.190476,0.0,0,0,0.0,0.004535,0.0,0.000438,112.486713,0.0,1,0.0,122.951509,4.141566,0.0,4.695805,0.0,4.815739,72.061386,0.0,9.779175,0.0,76.674007,37.495571,0.0,7.710171,0.0,40.983836,769.584565,0.0,4.753632,0.0,860.715989,1.0,0.0,1.0,0.0,1.0,0,0.0,0.94887,0.0,0.79206,23.900332,0.0,21.651734,0.0,24.33978,-12.01808,-20.839029,-7.96191,-24.02642,-11.733085,-16.087395,-24.810069,-20.081042,-27.079631,-15.792263,-12.102374,-23.636237,-5.459244,-26.827529,-11.848628,3.0,73.0,0.0,9.0,266.0,56137.0,5.0,2.0,0.0,0.0,0.0,0.0,0.773976,23.130514,0.0,0.027826,0.00043,44.0,14.666667
0,10,3.0,0.0,2.0,0.0,3.0,1.0,0.0,0.666667,0.008501341086556403,1.0,522.0,0.0,6.0,8.0,536.0,8.198216,22.240604,18.240926,21.439961,8.194138,8.501341086556405e-06,0.0,2.0,0.0,24.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0,1.0,0.0,15.0,17.00268217311281,0.0,0.666667,0.0,8.0,28.222222,0.0,0.222222,0.0,32.666667,0.042146,0.0,0.333333,4.601476434623356,0.044776,0.001916,0.0,0.0,0.0,0.001866,0.02682,0.0,0.166667,0.0,0.027985,0.014049,0.0,0.111111,0.0,0,0,0.0,0.006173,0.0,0.000114,79.723911,0.0,1,0.0,85.567962,2.324561,0.0,0.0,0.0,2.323455,72.567523,0.0,8.655534,0.0,77.740806,26.574637,0.0,4.450446,0.0,28.522654,1058.720516,0.0,12.516479,0.0,1212.898917,1.0,0.0,0.0,0.0,1.0,0,0.0,0.895471,0.0,0.918119,21.009703,0.0,15.027157,0.0,21.160657,-15.320776,-20.839029,-13.173918,-24.02642,-15.174661,-18.149604,-24.810069,-20.741199,-27.079631,-17.982153,-14.476324,-23.636237,-12.939705,-26.827529,-14.353039,4.0,54.0,8.0,0.0,541.0,12621.0,11.0,11.0,0.0,0.0,0.0,0.0,0.918308,13.351339,0.0,0.014925,0.000104,22.0,7.333333
1,10,3.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.012752011629834605,1.0,59.0,0.0,5.0,5.0,69.0,8.198216,22.240604,18.240926,21.439961,8.194138,1.2752011629834607e-05,0.0,3.0,0.0,11.0,2.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,5.0,25.504023259669214,0.0,1.0,0.0,3.666667,0.888889,0.0,0.0,0.0,0.888889,0.135593,0.0,0.6,6.813812570293915,0.15942,0.033898,0.0,0.2,0.0,0.043478,0.067797,0.0,0.2,0.0,0.072464,0.045198,0.0,0.2,0.0,0,0,0.0,0.0,0.0,0.000187,26.763222,0.0,1,0.0,34.947854,1.380522,0.0,4.695805,0.0,2.063888,20.733578,0.0,8.655534,0.0,25.913602,8.921074,0.0,6.080309,0.0,11.649285,71.548251,0.0,3.322152,0.0,105.747626,1.0,0.0,1.0,0.0,1.0,0,0.0,1.0,0.0,0.984724,23.622797,0.0,22.468922,0.0,24.653968,-10.483058,-20.839029,-8.41288,-24.02642,-9.558375,-19.17962,-24.810069,-20.355124,-27.079631,-18.418511,-9.772067,-23.636237,-5.143084,-26.827529,-9.208571,2.0,36.0,6.0,0.0,14687.0,40205.0,5.0,3.0,0.0,0.0,0.0,0.0,0.975355,18.240926,0.0,0.05314,0.000255,8.0,2.666667
2,10,3.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,0.017002682173112807,1.0,203.0,0.0,7.0,5.0,215.0,8.198216,22.240604,18.240926,21.439961,8.194138,1.700268217311281e-05,0.0,5.0,1.0,30.0,3.0,0.0,1.0,0.0,4.0,11.0,0.0,2.0,1.0,14.0,34.00536434622562,0.0,1.666667,0.333333,10.0,12.666667,0.0,0.222222,0.222222,18.666667,0.118227,0.0,0.714286,8.023724001892992,0.139535,0.014778,0.0,0.142857,0.0,0.018605,0.054187,0.0,0.285714,0.2,0.065116,0.039409,0.0,0.238095,0.066667,0,0,0.0,0.004535,0.008889,0.000404,82.333731,0.0,1,9.667404,103.191394,2.070783,0.0,4.695805,0.0,2.751851,57.017339,0.0,17.311069,9.667404,72.558086,27.444577,0.0,10.595349,3.222468,34.397131,512.003015,0.0,26.857218,20.7686,833.378754,1.0,0.0,1.0,0.0,1.0,0,0.0,0.978111,0.756753,0.989615,25.870014,0.0,26.522979,12.696249,26.35397,-10.506004,-20.839029,-6.499347,-19.509025,-9.877307,-16.765195,-24.810069,-19.412571,-23.5754,-16.177233,-10.449261,-23.636237,-4.766107,-22.302319,-9.911815,2.0,21.0,1896.0,1.0,10577.0,34605.0,1.0,1.0,2175.0,273.0,79.6706653092874,0.2,0.990119,31.786048,0.333333,0.046512,0.000307,24.0,8.0
1,10,3.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,0.02125335271639101,1.0,321.0,0.0,5.0,5.0,331.0,8.198216,22.240604,18.240926,21.439961,8.194138,2.125335271639101e-05,0.0,4.0,1.0,33.0,5.0,0.0,1.0,0.0,6.0,12.0,0.0,2.0,1.0,15.0,42.50670543278203,0.0,1.333333,0.333333,11.0,9.555556,0.0,0.222222,0.222222,14.0,0.087227,0.0,0.8,10.649857696108885,0.099698,0.015576,0.0,0.2,0.0,0.018127,0.037383,0.0,0.4,0.2,0.045317,0.029076,0.0,0.266667,0.066667,0,0,0.0,0.008889,0.008889,0.000128,76.923275,0.0,1,5.455753,86.452813,8.283132,0.0,4.889588,0.0,10.31944,57.017339,0.0,9.391609,5.455753,62.192645,25.641092,0.0,7.645577,1.818584,28.817604,494.093363,0.0,3.88804,6.614498,559.13229,1.0,0.0,1.0,0.0,1.0,0,0.0,0.950529,0.427408,0.97772,24.935021,0.0,25.241631,7.165067,25.320068,-11.077742,-20.839029,-6.961026,-23.692311,-10.636294,-16.485613,-24.810069,-20.106154,-27.07664,-16.051191,-11.132993,-23.636237,-4.450289,-26.49117,-10.733324,2.0,21.0,0.0,4.0,3736.0,34605.0,1.0,1.0,0.0,0.0,0.0,0.2,0.974819,22.936731,0.333333,0.033233,9.3e-05,28.0,9.333333
1,10,3.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.02550402325966921,1.0,195.0,0.0,6.0,4.0,205.0,8.198216,22.240604,18.240926,21.439961,8.194138,2.5504023259669214e-05,0.0,3.0,0.0,8.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,4.0,51.00804651933843,0.0,1.0,0.0,2.666667,0.888889,0.0,0.0,0.0,0.888889,0.025641,0.0,0.5,4.774825170488132,0.039024,0.005128,0.0,0.166667,0.0,0.009756,0.015385,0.0,0.166667,0.0,0.019512,0.008547,0.0,0.166667,0.0,0,0,0.0,0.0,0.0,2.1e-05,9.578738,0.0,1,0.0,17.764201,2.070783,0.0,4.695805,0.0,2.751851,5.183394,0.0,8.655534,0.0,10.365441,3.192913,0.0,6.080309,0.0,5.9214,1.991743,0.0,3.322152,0.0,10.473289,1.0,0.0,1.0,0.0,1.0,0,0.0,1.0,0.0,0.984476,15.17773,0.0,20.53047,0.0,19.560373,-17.226597,-20.839029,-8.954418,-24.02642,-14.189737,-20.961803,-24.810069,-20.35662,-27.079631,-19.639276,-15.022215,-23.636237,-5.689787,-26.827529,-13.503307,1.0,16.0,0.0,1.0,11715.0,34605.0,31.0,1.0,0.0,3.0,16.2,0.0,0.945281,18.240926,0.0,0.013008,2.3e-05,5.0,1.666667
0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029754693802947412,0.0,10.0,0.0,2.0,7.0,19.0,8.198216,22.240604,18.240926,21.439961,8.194138,2.9754693802947416e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.50938760589483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2531853659979895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.180633,-20.839029,-21.107222,-24.02642,-28.170152,-26.487567,-24.810069,-23.762276,-27.079631,-26.479081,-29.851568,-23.636237,-23.917189,-26.827529,-29.845926,2.0,35.0,7.0,0.0,11919.0,34605.0,84.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10,2.0,0.0,1.0,0.0,2.0,0.666667,0.0,0.333333,0.034005364346225614,0.666667,919.0,0.0,6.0,4.0,929.0,8.198216,22.240604,18.240926,21.439961,8.194138,3.400536434622562e-05,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,68.01072869245124,0.0,0.333333,0.0,2.0,1.555556,0.0,0.222222,0.0,2.666667,0.005441,0.0,0.166667,5.042976716900602,0.006459,0.0,0.0,0.0,0.0,0.0,0.003264,0.0,0.166667,0.0,0.004306,0.001814,0.0,0.055556,0.0,0,0,0.0,0.006173,0.0,3e-06,6.719905,0.0,1,0.0,7.39876,0.0,0.0,0.0,0.0,0.0,4.649122,0.0,4.695805,0.0,4.646909,2.239968,0.0,1.565268,0.0,2.466253,3.616701,0.0,4.900129,0.0,3.639744,0.0,0.0,0.0,0.0,0.0,0,0.0,0.427651,0.0,0.433516,4.727418,0.0,5.285207,0.0,4.917804,-25.029706,-20.839029,-21.107222,-24.02642,-24.704979,-25.097879,-24.810069,-23.762276,-27.079631,-24.903757,-25.63764,-23.636237,-23.917189,-26.827529,-25.36952,1.0,16.0,0.0,11.0,63657.0,39496.0,10.0,1.0,0.0,218.0,55.0699459783914,0.0,0.448807,4.695805,0.0,0.002153,2e-06,5.0,1.666667
0,10,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.03825603488950381,1.0,129.0,1.0,3.0,6.0,139.0,8.198216,22.240604,18.240926,21.439961,8.194138,3.8256034889503824e-05,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,76.51206977900765,0.0,0.0,0.0,3.0,0.666667,0.0,0.0,0.0,0.666667,0.069767,0.0,0.0,4.960182731548214,0.064748,0.015504,0.0,0.0,0.0,0.014388,0.031008,0.0,0.0,0.0,0.028777,0.023256,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.5e-05,20.101515,0.0,1,0.0,20.087656,2.761044,0.0,0.0,0.0,2.751851,10.366789,0.0,0.0,0.0,10.365441,6.700505,0.0,0.0,0.0,6.695885,9.678539,0.0,0.0,0.0,9.698795,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.975629,21.329551,0.0,0.0,0.0,21.20934,-12.264615,-20.839029,-21.107222,-24.02642,-12.486655,-19.225053,-24.810069,-23.762276,-27.079631,-19.235834,-11.712558,-23.636237,-23.917189,-26.827529,-11.936132,1.0,35.0,584.0,0.0,46188.0,20339.0,11.0,6.0,0.0,0.0,0.0,0.0,0.975608,0.0,0.0,0.021583,4e-05,9.0,3.0
